trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,cry,dog,dog,familiar,noun,2009,6359,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
2,ball,sleep,sleep,familiar,verb,2004,2646,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
3,horse,wave,horse,familiar,noun,2001,1725,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
4,draw,shoe,shoe,familiar,noun,2002,854,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
5,action5,obj2,action5,novel,verb,2003,1268,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
6,read,box,box,familiar,noun,2003,2947,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
7,obj6,action1,obj6,novel,noun,2003,1291,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
8,obj5,action6,obj5,novel,noun,2003,1379,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
9,hat,sit,hat,familiar,noun,2002,1507,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
10,eat,doll,eat,familiar,verb,2002,1955,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
11,drink,book,book,familiar,noun,2002,2438,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
12,action2,obj1,obj1,novel,noun,2003,2786,1534,797,Chrome,Windows,900,1600,787,765,288,400,English,33,Female,,[],1.2034666666666667,371096
