trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,action1,obj6,obj6,novel,noun,2007,4552,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
2,eat,doll,eat,familiar,verb,2005,2435,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
3,book,drink,drink,familiar,verb,2003,3010,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
4,horse,wave,wave,familiar,verb,2002,4421,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
5,obj1,action2,obj1,novel,noun,2003,6236,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
6,shoe,draw,draw,familiar,verb,2001,2033,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
7,hat,sit,sit,familiar,verb,2002,3897,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
8,sleep,ball,sleep,familiar,verb,2002,1429,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
9,obj2,action5,action5,novel,verb,2003,2001,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
10,obj5,action6,obj5,novel,noun,2003,1403,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
11,cry,dog,cry,familiar,verb,2002,2310,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
12,box,read,read,familiar,verb,2001,2122,1366,635,Chrome,Windows,768,1366,635,1366,288,400,English,49,Female,,[],1.7095166666666666,686685
