trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,action6,obj5,obj5,novel,noun,2012,5963,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
2,read,box,box,familiar,noun,2005,8818,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
3,ball,sleep,sleep,familiar,verb,2005,1613,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
4,book,drink,book,familiar,noun,2003,2171,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
5,action5,obj2,obj2,novel,noun,2004,4344,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
6,doll,eat,doll,familiar,noun,2003,1505,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
7,shoe,draw,shoe,familiar,noun,2003,3375,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
8,obj1,action2,action2,novel,verb,2002,5145,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
9,cry,dog,cry,familiar,verb,2004,2426,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
10,horse,wave,horse,familiar,noun,2003,1347,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
11,hat,sit,hat,familiar,noun,2003,2199,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
12,action1,obj6,obj6,novel,noun,2003,3517,1920,969,Chrome,Windows,1080,1920,969,1920,288,400,English,31,Female,,[],1.6914,822563
