trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,obj7,action4,obj7,novel,noun,2006,4515,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
2,box,wave,wave,familiar,verb,2003,2753,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
3,sit,horse,horse,familiar,noun,2002,4192,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
4,ball,drink,ball,familiar,noun,2003,2659,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
5,action1,obj2,action1,novel,verb,2002,1335,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
6,eat,book,book,familiar,noun,2002,2472,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
7,read,shoe,shoe,familiar,noun,2002,1666,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
8,action2,obj8,action2,novel,verb,2002,1080,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
9,doll,draw,doll,familiar,noun,2001,2815,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
10,hat,cry,cry,familiar,verb,2002,3754,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
11,action8,obj1,action8,novel,verb,2003,3585,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
12,dog,sleep,dog,familiar,noun,2002,1826,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
13,action3,obj3,action3,novel,verb,2002,1830,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
14,obj4,action7,obj4,novel,noun,2002,2764,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
15,action5,obj6,action5,novel,verb,2001,1651,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
16,obj5,action6,action6,novel,verb,2003,2647,1745,852,Chrome,Windows,1080,1920,852,1745,288,400,English,45,Male,,[],1.8294,809026
