trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,obj8,action5,action5,novel,verb,2013,6547,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
2,draw,shoe,shoe,familiar,noun,2007,10366,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
3,obj7,action3,obj7,novel,noun,2004,4028,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
4,ball,read,read,familiar,verb,2003,5499,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
5,action8,obj5,action8,novel,verb,2001,3862,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
6,obj6,action7,action7,novel,verb,2003,5079,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
7,eat,box,eat,familiar,verb,2003,2955,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
8,horse,wave,horse,familiar,noun,2002,2227,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
9,sleep,book,sleep,familiar,verb,2002,3851,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
10,drink,hat,hat,familiar,noun,2003,13883,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
11,sit,dog,dog,familiar,noun,2002,2006,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
12,obj2,action1,action1,novel,verb,2003,2579,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
13,obj4,action2,obj4,novel,noun,2003,5649,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
14,obj1,action6,obj1,novel,noun,2004,3097,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
15,obj3,action4,obj3,novel,noun,2003,3512,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
16,doll,cry,cry,familiar,verb,2003,5448,1536,754,Chrome,Windows,864,1536,754,1536,288,400,English,21,Female,,[],2.4490666666666665,316472
