trial_num,left_img,right_img,selected_img,img_type,selected_word_type,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,action5,obj7,obj7,novel,noun,22755,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
2,book,draw,draw,familiar,verb,11070,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
3,sleep,shoe,shoe,familiar,noun,8463,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
4,action2,obj8,obj8,novel,noun,8409,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
5,doll,drink,drink,familiar,verb,13170,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
6,obj4,action4,obj4,novel,noun,7842,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
7,action7,obj3,obj3,novel,noun,8586,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
8,wave,box,wave,familiar,verb,11873,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
9,obj1,action1,obj1,novel,noun,8520,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
10,cry,ball,cry,familiar,verb,5707,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
11,dog,read,read,familiar,verb,6612,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
12,horse,eat,eat,familiar,verb,7960,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
13,action6,obj2,obj2,novel,noun,5134,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
14,hat,sit,sit,familiar,verb,9303,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
15,obj5,action8,obj5,novel,noun,5854,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
16,obj6,action3,obj6,novel,noun,7617,1366,629,Firefox,Linux,768,1366,629,1366,288,400,"english, welsh",34,Male,no third option (neither) means you have to potentially force a dishonest answer to progress,[],3.698183333333333,183536
