trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,doll,wave,doll,familiar,noun,2007,7459,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
2,action5,obj1,action5,novel,verb,2010,7694,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
3,box,sleep,sleep,familiar,verb,2002,5184,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
4,ball,eat,ball,familiar,noun,2003,7280,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
5,action7,obj2,obj2,novel,noun,2002,4476,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
6,dog,draw,dog,familiar,noun,2002,3534,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
7,obj8,action4,obj8,novel,noun,2002,4970,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
8,drink,book,drink,familiar,verb,2002,4320,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
9,shoe,read,shoe,familiar,noun,2002,3541,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
10,action3,obj6,obj6,novel,noun,2001,2438,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
11,sit,hat,sit,familiar,verb,2002,4698,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
12,obj7,action1,obj7,novel,noun,2001,2379,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
13,obj3,action2,obj3,novel,noun,2012,2913,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
14,horse,cry,cry,familiar,verb,2003,2769,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
15,obj5,action8,obj5,novel,noun,2002,1756,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
16,action6,obj4,obj4,novel,noun,2003,2182,1280,610,Chrome,Windows,720,1280,610,1280,288,400,english,50,Male,no,[],2.3974,422351
