trial_num,left_img,right_img,selected_img,img_type,selected_word_type,preview_time,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,drink,dog,dog,familiar,noun,2021,5326,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
2,action5,obj1,action5,novel,verb,2007,3723,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
3,eat,book,book,familiar,noun,2006,3367,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
4,sleep,box,sleep,familiar,verb,2005,2330,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
5,obj2,action6,obj2,novel,noun,2006,3692,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
6,draw,shoe,shoe,familiar,noun,2005,3168,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
7,horse,read,horse,familiar,noun,2007,2753,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
8,sit,doll,doll,familiar,noun,2007,2591,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
9,obj4,action8,obj4,novel,noun,2005,3077,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
10,action4,obj5,action4,novel,verb,2006,1694,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
11,hat,cry,hat,familiar,noun,2005,3049,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
12,wave,ball,ball,familiar,noun,2004,2280,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
13,obj8,action7,obj8,novel,noun,2005,3055,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
14,action2,obj6,action2,novel,verb,2003,3305,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
15,obj3,action3,obj3,novel,noun,2004,2105,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
16,obj7,action1,obj7,novel,noun,2002,1457,1440,733,Chrome,Mac,900,1440,733,1440,288,400,english,27,Female,i dont really know in what context you would talk about these images. it would depend on where youd seen them?,[],2.5858333333333334,596455
