trial_num,left_img,right_img,selected_img,img_type,selected_word_type,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,comments,wrong_img_tests,time_in_minutes,participant_id
1,cry,horse,horse,familiar,noun,4944,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
2,obj2,action1,action1,novel,verb,6360,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
3,doll,eat,doll,familiar,noun,6178,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
4,shoe,drink,shoe,familiar,noun,5711,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
5,action8,obj8,obj8,novel,noun,6398,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
6,action3,obj4,obj4,novel,noun,5977,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
7,action7,obj7,obj7,novel,noun,7895,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
8,obj5,action2,obj5,novel,noun,7011,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
9,box,read,box,familiar,noun,7278,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
10,action4,obj6,obj6,novel,noun,4714,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
11,dog,draw,dog,familiar,noun,6926,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
12,sleep,ball,sleep,familiar,verb,6409,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
13,sit,book,sit,familiar,verb,6960,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
14,obj3,action6,obj3,novel,noun,5618,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
15,obj1,action5,obj1,novel,noun,4562,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
16,wave,hat,hat,familiar,noun,4689,768,921,Safari,Mac,1024,768,921,768,288,400,English ,38,Female,,[],3.1769833333333333,261026
