trial_num,word,part_speech1,part_speech2,selected_answer,correct_answer,word_type,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,language,age,gender,comments,wrong_soundtests,time_in_minutes,participant_id
1,ball,An action,An object,An object,noun,familiar,15186,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
2,eat,An action,An object,An action,verb,familiar,13824,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
3,sleep,An action,An object,An action,verb,familiar,14725,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
4,shoe,An object,An action,An object,noun,familiar,15090,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
5,nup,An action,An object,An object,none,novel,27298,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
6,fep,An action,An object,An object,none,novel,14061,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
7,vash,An action,An object,An action,none,novel,14597,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
8,smick,An action,An object,An object,none,novel,13057,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
9,dax,An action,An object,An object,none,novel,16051,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
10,moop,An object,An action,An action,none,novel,12452,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
11,heth,An action,An object,An object,none,novel,12218,1225,744,Safari,Mac,900,1440,744,1225,English,24,Female,No,[],3.5715166666666667,870425
