trial_num,word,part_speech1,part_speech2,selected_answer,correct_answer,word_type,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,language,age,gender,comments,wrong_soundtests,time_in_minutes,participant_id
1,ball,An action,An object,An object,An object,familiar,31189,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
2,eat,An object,An action,An action,An action,familiar,12643,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
3,sleep,An action,An object,An action,An action,familiar,15083,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
4,shoe,An object,An action,An object,An object,familiar,12174,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
5,moop,An object,An action,An object,none,novel,20745,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
6,fep,An object,An action,An action,none,novel,29889,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
7,smick,An object,An action,An action,none,novel,11538,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
8,vash,An object,An action,An object,none,novel,13101,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
9,nup,An action,An object,An object,none,novel,12811,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
10,heth,An action,An object,An action,none,novel,17619,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
11,dax,An action,An object,An action,none,novel,15117,1366,625,Chrome,Windows,768,1366,625,1366,English,28,Female,N/A,[],4.4318333333333335,478944
