trial_num,word,part_speech1,part_speech2,selected_answer,correct_answer,word_type,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,language,age,gender,comments,wrong_soundtests,time_in_minutes,participant_id
1,ball,An action,An object,An object,An object,familiar,15199,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
2,eat,An object,An action,An action,An action,familiar,13992,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
3,sleep,An action,An object,An action,An action,familiar,13143,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
4,shoe,An action,An object,An object,An object,familiar,21520,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
5,moop,An action,An object,An action,none,novel,15257,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
6,dax,An action,An object,An object,none,novel,11023,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
7,fep,An action,An object,An action,none,novel,11496,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
8,nup,An object,An action,An object,none,novel,12608,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
9,vash,An action,An object,An action,none,novel,13537,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
10,smick,An action,An object,An action,none,novel,11991,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
11,heth,An object,An action,An object,none,novel,10273,1920,937,Chrome,Windows,1080,1920,937,1920,English,50,Male,,[],3.7079833333333334,273078
