trial_num,word,part_speech1,part_speech2,selected_answer,correct_answer,word_type,trial_time,current_windowW,current_windowH,Browser,OS,screenH,screenW,windowH,windowW,language,age,gender,comments,wrong_soundtests,time_in_minutes,participant_id
1,ball,An action,An object,An object,An object,familiar,14749,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
2,eat,An object,An action,An action,An action,familiar,12137,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
3,sleep,An object,An action,An action,An action,familiar,12358,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
4,shoe,An action,An object,An object,An object,familiar,11533,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
5,dax,An object,An action,An object,none,novel,10880,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
6,heth,An object,An action,An action,none,novel,10430,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
7,nup,An action,An object,An action,none,novel,11726,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
8,smick,An object,An action,An action,none,novel,12485,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
9,moop,An action,An object,An action,none,novel,11928,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
10,fep,An object,An action,An object,none,novel,11663,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
11,vash,An action,An object,An object,none,novel,12491,1440,798,Chrome,Mac,900,1440,798,1440,english,30,Female,,[],3.05535,705177
