condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623037.7500000177,-433,502,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623090.3450000333,262,273,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623133.8300000061,1083,265,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623165.7750000013,1200,423,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623203.0300000333,1200,423,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623234.3050000491,1124,225,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623267.2200000379,832,295,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623308.5000000428,1085,272,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623355.9100000421,782,52,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623407.5000000303,874,102,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623451.9150000415,915,-16,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623488.9650000259,672,11,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623539.1350000282,1083,39,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623591.0550000262,1107,200,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623647.9549999931,958,115,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623709.7200000426,519,325,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623768.3400000096,414,56,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623826.0200000368,501,349,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623878.3800000092,657,142,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
noun,img_side_order2,1,pair6,verb_filler,verb_filler,read_filler,read,box,none,1597885602478,1920,937,5085,10101,11103,17113,18167,26199,1597885630255,1597885620645,1597885628677,623923.2400000328,713,574,Chrome,Windows,1080,1920,817,1071,288,400,English,41,Female,nearsighted,neither,,53,[],16.642416666666666,316822
