condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,exp.clicked,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86041.58000000461,1223,269,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86074.17500000156,1295,431,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86109.34000000998,1430,208,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86140.18500001112,1278,180,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86174.32499999995,603,296,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86208.21500000602,522,71,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86240.31000000832,276,499,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86279.14000001329,372,554,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86775.22000001045,317,81,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86807.94000001333,989,157,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86840.715000013,528,201,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86876.59500000882,284,86,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86909.0700000088,205,190,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86943.5850000009,-147,67,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,86973.9499999996,-19,-63,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87008.39000000269,603,-51,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87040.59500001313,1491,-79,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87072.99500000954,771,244,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87108.87500000536,543,597,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87139.57000001392,326,583,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87175.66000000807,291,576,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87209.44500000041,273,839,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87241.06500000926,381,899,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87277.25500000815,326,852,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87309.53000001318,520,736,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87346.11500000756,924,500,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87373.48500000371,822,489,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87410.61500000069,797,658,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87470.02500000235,721,681,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87514.75500001106,519,532,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87546.46500000672,746,344,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87576.78500001202,776,624,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87613.66500001168,1093,158,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87641.24000001175,530,128,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87675.32000000938,445,-222,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87708.04500000668,599,-145,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87740.85500001092,204,-143,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87773.0700000102,-271,2,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87810.55000000924,-338,-274,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87840.54500001366,-321,-240,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87877.24500001059,-140,-69,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87907.6250000071,333,29,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87942.3550000065,714,148,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,87976.13000001002,824,469,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
