condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107543.32999998587,825,532,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107597.72499999963,1092,566,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107625.37499997416,1133,631,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107659.34999997262,1464,115,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107696.6099999845,1603,-9,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107727.57999997702,1264,284,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107761.9999999879,1141,242,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107795.39499999373,1182,293,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107828.53499997873,1123,297,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107866.86999999802,1338,341,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107913.55999998632,1012,208,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107947.94499999261,944,101,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,107976.02499998175,1130,152,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108010.3849999723,1205,153,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108048.7499999872,981,258,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108081.06999998563,1084,177,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108114.74999997881,1061,312,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108146.81999999448,928,415,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108179.54499999178,684,450,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108218.27499999199,358,418,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108245.81499997294,676,213,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108283.84999997797,562,275,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108310.6399999815,470,61,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108346.04499998386,570,495,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108380.39499998558,469,318,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108409.64999998687,476,390,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108441.25499998336,464,543,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108474.68499999377,469,445,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108528.98999999161,523,478,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
noun,img_side_order2,1,pair4,verb_filler,verb_filler,draw_filler,draw,shoe,none,1597877091253,1680,947,5043,10044,11045,17046,18071,26094,1597877118887,1597877109324,1597877117347,108557.53499999992,433,687,Chrome,Mac,1050,1680,947,1680,288,400,English,21,Male,none,neither,,72,[],7.88265,775091
