condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,exp.clicked,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,43964.65999999782,585,125,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44010.1250000007,568,154,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44066.13500000094,465,103,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44108.104999992065,365,108,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44139.75499999651,343,-46,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44168.330000000424,459,200,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44202.59000000078,615,276,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44235.8349999995,584,168,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44269.619999991846,594,-61,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44302.87999998836,739,-43,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44337.4199999962,877,-72,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44369.96499999077,761,-20,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44404.02499999618,826,149,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44437.07999998878,264,201,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44468.894999998156,-161,172,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44502.684999999474,46,93,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44535.98499999498,-70,191,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44571.194999996806,-132,348,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44602.43999998784,146,357,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44634.184999988065,47,355,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44668.799999999464,-97,391,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44702.95999999507,-152,471,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44735.05999999179,-156,520,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44768.96499999566,-147,448,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44799.69999998866,-152,452,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44835.28999998816,68,467,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44869.03999999049,-42,355,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44903.209999989485,123,344,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44935.82999998762,-15,420,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,44968.5349999927,108,551,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45008.24999999895,16,389,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45037.03999999561,-43,330,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45069.089999989956,88,452,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45101.81999999622,-50,401,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45137.09999999264,109,419,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45168.59499999555,62,514,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45202.25499999651,99,476,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45237.979999990785,8,461,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45267.934999996214,190,415,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45303.56999998912,115,476,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45334.34000000125,71,404,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45369.31999999797,41,384,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45400.8649999887,96,474,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45435.74499999522,99,496,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45468.719999989844,27,527,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45502.11499999568,-61,420,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45534.96999999334,-39,387,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45571.08999999764,-36,473,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45605.02499999711,2,488,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45636.664999998175,74,476,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45673.92499999551,35,483,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45705.254999993485,-36,506,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45737.20999999205,-82,341,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45767.97000000079,-14,423,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45802.29999999574,-85,367,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45835.24499999476,-134,395,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
noun,img_side_order1,1,pair4,noun,noun,shoe,draw,shoe,none,1597874523807,1280,689,5043,10056,11338,17353,18376,26407,1597874553163,1597874542183,1597874550214,45870.1299999957,-115,424,Chrome,Mac,800,1280,621,1087,288,400,English,21,Female,none,neither,Elizabeth - test,76,[],8.23845,760512
