condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475742.0799997635,418,878,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475782.74499997497,525,985,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475814.86999988556,618,777,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475843.70000008494,1079,684,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475879.2949998751,946,725,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475911.53999976814,1034,782,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475945.48500003293,743,953,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,475977.37499978393,1009,983,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,476016.74500014633,724,875,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
baseline,img_side_order1,1,pair1,noun_filler,noun_filler,dog_filler,cry,dog,none,1597885397238,1280,610,5083,10108,11109,17125,18162,26200,1597885426800,1597885415400,1597885423438,476050.909999758,1160,877,Chrome,Windows,720,1280,610,1280,288,400,English,28,Female,none,neither,,53,"[2, 3]",14.020183333333334,202875
