condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1039997.9700000002,1886,458,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040079.5700000017,1932,796,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040144.8100000015,653,238,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040206.8849999995,946,74,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040259.6799999992,984,152,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040340.6350000005,697,180,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040389.3549999993,679,-55,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040456.6200000008,802,163,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040508.600000001,1093,-194,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040573.0000000002,1164,-33,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040618.7500000014,464,118,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040675.9600000004,918,197,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040754.8100000022,1179,145,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
noun,img_side_order1,1,pair5,verb_filler,verb_filler,sleep_filler,sleep,ball,none,1597886143633,1536,760,5088,10173,11184,17238,18286,26326,1597886172539,1597886161919,1597886169959,1040807.1550000021,467,601,Chrome,Windows,864,1536,760,1536,288,400,English,22,Other,nearsighted,glasses,,62,[],24.2382,170927
