condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84019.6849999993,920,232,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84064.00000000212,1081,278,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84117.51500000173,801,258,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84190.76499999937,804,349,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84253.30000000031,682,379,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84293.20000000007,999,170,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84343.8900000001,816,235,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84401.96500000093,1080,259,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84455.19000000058,916,354,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84496.3749999988,993,395,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84556.24499999976,1149,340,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84597.9699999989,1150,220,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84657.79000000111,998,168,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84718.90500000154,1101,317,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84778.61000000121,953,299,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84841.21500000037,1038,257,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84886.12999999896,1326,256,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84930.19999999888,1374,230,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84984.59500000172,1117,435,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
