condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,230993.15000000026,-511,1261,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231084.78000000014,1044,252,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231180.22999999992,1466,134,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231272.9450000006,1490,48,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231365.45000000024,1506,159,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231460.505,403,380,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231587.32500000042,497,216,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231670.12500000052,776,263,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231756.60500000045,1008,467,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231870.51000000065,1070,449,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,231955.7050000003,1837,492,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232050.03000000032,1060,142,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232138.24000000022,234,2,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232290.73500000045,862,150,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232375.50499999995,-572,1025,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232453.97500000033,-402,877,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232537.4700000002,-219,515,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232618.8200000006,313,424,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232703.65000000037,915,569,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232786.72000000003,195,700,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232871.29000000004,1044,717,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,232956.2700000006,485,704,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
baseline,img_side_order1,1,pair2,verb_filler,verb_filler,eat_filler,eat,doll,none,1597885294106,1280,800,5228,10306,11432,17526,18603,26706,1597885323470,1597885312709,1597885320812,233036.06500000024,979,425,Chrome,Linux,800,1280,681,1280,288,400,english,20,Other,nearsighted,glasses,,64,[],10.499066666666666,139442
