condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,gender,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,181351.05499997735,847.9453458142671,567.8197004020859,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,181555.37999980152,867.5830635443333,591.3872555444823,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,181646.30499994382,909.3807070819195,597.2245680855534,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,181787.4999998603,931.5695637333463,596.9113025171881,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,181867.4999999348,961.6017717759958,585.1062227348006,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,181950.33999998122,990.2212868703477,555.9823965458427,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182022.83499995247,1055.2241047297307,498.15256009890385,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182101.66999977082,1083.0417211245037,456.5671507630489,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182169.60499994457,1074.9142881800856,406.45452020697417,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182252.47999979183,1072.1478258043032,368.6970702172725,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182401.30999987014,1008.643167776929,352.43867081962924,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182527.06999983639,910.726280537116,325.0794713062344,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182617.4399999436,838.8984820796646,320.50280408895736,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182701.58999995328,778.478230095445,338.3824184433512,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182784.7799998708,735.6397736204704,356.30010661745456,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
verb,img_side_order1,1,pair4,verb,verb,draw,draw,shoe,none,1604771482648,1536,754,6098,12106,13125,19196,20202,28211,1604771510859,1604771502850,1604771510859,182869.3299998995,691.1962043534229,375.78811206271797,Chrome,Windows,864,1536,754,1536,288,400,English,Male,,0,[],10.479033333333334,515350
